Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
7521/002,Diamond Heights Shopping Center - Building B2,"5262, 5264, 5268 Diamond Heights Blvd.",94131,"5262 5264
San Francisco, CA 94131
",10728,Retail Store,http://propertymap.sfplanning.org/?&search=7521/002,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2013-04-01T00:00:00,Complied,,,,48.5,148.8,20.9,20.9,44.6,4.2,49,149.3,,48.9,149.6,21.5,21.5,42.2,3.9,49.1,149.8,,50.7,155,25.9,25.9,43.8,4.1,51.4,155.7,,50.8,153.4,24.6,24.6,43.6,4.1,50.1,152.7,,,,,,,,,,,,,,,,,,
0667/011,"1430. 1450, 1480 Van Ness Ave",1430 Van Ness,94109,"1430 Van
San Francisco, CA 94109
",28300,Retail Store,http://propertymap.sfplanning.org/?&search=0667/011,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,27.9,87.3,-23.7,-23.7,37.9,2.3,27.9,87.3,,28.9,90.7,-20.8,-20.8,39.4,2.4,28.9,90.7,,32.7,99,-13.5,-13.5,43.8,2.6,32.7,99,,25.5,75.3,-34.3,-34.2,33.7,2,25.5,75.2,,,,,,,,,
0742/015,700-710 Van Ness,700 Van Ness,94102,"700 Van
San Francisco, CA 94102
",10467,Office,http://propertymap.sfplanning.org/?&search=0742/015,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2016-04-01T00:00:00,Complied,,,,27.9,83.2,-43.8,-43.8,24.6,2.3,27.9,83.2,,40.8,103.1,-30.4,-30.4,31.2,3,42.6,105,,39,109.9,-25.8,-25.8,31.5,3,39,109.9,38,42.5,117.2,14,14,33.9,3.2,41,115.7,,,,,,,,,,,,,,,,,,
1691/019,850 La Playa,850 LA PLAYA,94121,"850 LA
San Francisco, CA 94121
",97422,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=1691/019,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,32,265.1,631.6,11.7,11.7,739.8,19.8,267.5,634.1,24,265.5,671.6,18.3,18.3,727.7,19.4,266.8,669.5,23,266.5,672.3,19.5,19.5,729.5,19.5,269.5,670,28,272.6,674.9,15.1,15.1,739.7,19.8,269.2,671.3,29,272.6,672.3,14.6,14.6,738.3,19.7,271.7,671.4,23,276,,20.4,,810.77,,276,
3715/001,1 MISSION,100 The Embarcadero,94105,"100 The
San Francisco, CA 94105
",31740,Office,http://propertymap.sfplanning.org/?&search=3715/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,236.3,467.6,215.8,215.8,510.5,16.1,236.3,467.6,,268.3,517.2,249.3,249.3,553.9,17.5,269.9,516,,276.1,526.7,255.7,255.7,567.6,17.9,273.6,518.9,,285.3,522.5,253.1,252.8,598.4,18.9,282.9,515.1,,242,486.9,255.8,,530.35,,243.4,491.7,,,,,,,,,
3715/002,110 THE EMBARCADERO,110 THE EMBARCADERO,94105,"110 THE
San Francisco, CA 94105
",12274,,http://propertymap.sfplanning.org/?&search=3715/002,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2023-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3715/013,Bayside Plaza,188 THE EMBARCADERO,94105,"188 THE
San Francisco, CA 94105
",97025,Office,http://propertymap.sfplanning.org/?&search=3715/013,Complied,,Complied,,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - ENERGY STAR,,,84,52.3,141.7,-36.8,-36.8,359.1,4.2,52.3,141.7,95,36.3,99.9,-54.1,-54.1,238,2.8,36.9,100.6,,,,,,,,,,,53.2,116.7,-21.2,-21.2,330,3.8,53.5,117,69,60.8,137.8,-20.5,,383.14,,60.8,137.8,72,54.9,,-23.1,,359.03,,58.2,
3741/035,2 Folsom,250 THE EMBARCADERO,94105,"250 THE
San Francisco, CA 94105
",700079,Office,http://propertymap.sfplanning.org/?&search=3741/035,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,89,53.6,154.9,-42.3,-42.3,2483.6,4.4,53.6,154.9,89,55.1,158,-41.9,-41.9,2401,4.3,55.8,158.7,90,54.2,154.2,-43.5,-43.5,2352.4,4.2,55.6,155.7,91,55.1,153.1,-44.8,-44.8,2364.6,4.2,55.2,153.1,95,54.6,159.6,-49.6,,2568.48,,54.2,159.2,83,58.5,,-33.8,,2716.55,,55.9,
3957/002,350 Rhode Island - North,350 Rhode Island - North,94103,"350 Rhode Island North
San Francisco, CA 94103
",127074,Other - Education,http://propertymap.sfplanning.org/?&search=3957/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Complied,,100.4,244,72.5,72.5,961.3,7.6,101.6,245.3,,108.1,268.3,89.7,89.7,997.3,7.8,108.2,266.3,,102.7,254.3,79.8,79.8,946.4,7.4,99.9,245.4,,92.1,228.8,61.9,61.8,900.9,7.1,91.6,230.2,,94.9,242.8,63.6,,940.9,,95.3,244.4,,125,,96,,1160.87,,123.6,
4288/004,1750 Cesar Chavez,1750 Cesar Chavez,94107,"1750 Cesar
San Francisco, CA 94107
",31546,Mixed Use Property,http://propertymap.sfplanning.org/?&search=4288/004,Complied,,Exempt,,Exempt,,,,,,,,,,2014-04-01T00:00:00,Complied,,,,77.8,155,25.9,25.9,167.6,5.3,82.3,159.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
